,Unnamed: 0_otm,交易日期,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Unnamed: 0_call_straddle,行权价_call_straddle,成交量(手)_call_straddle,到期剩余天数_call_straddle,期权代码_call_straddle,收盘价_call_straddle,到期ETF收盘价_call_straddle,现期ETF收盘价_call_straddle,monthly_RV_call_straddle,option_type_call_straddle,期权收益率_call_straddle,IV_call_straddle,在值程度_call_straddle,Unnamed: 0_put_straddle,行权价_put_straddle,成交量(手)_put_straddle,到期剩余天数_put_straddle,期权代码_put_straddle,收盘价_put_straddle,到期ETF收盘价_put_straddle,现期ETF收盘价_put_straddle,monthly_RV_put_straddle,option_type_put_straddle,期权收益率_put_straddle,IV_put_straddle,在值程度_put_straddle,Return_straddle,Return
221,1424,2017-06-19,2.35,7293.0,37,10000907.SH,0.0036,2.677,2.497,0.153422468649496,put,-0.8108108108108109,0.1378850710725784,0.94,349,2.5,33665.0,37,10000905.SH,0.04,2.677,2.497,0.153422468649496,call,2.777027027027028,0.1216495488139092,1,349,2.5,22841.0,37,10000910.SH,0.04,2.677,2.497,0.153422468649496,put,-0.8108108108108109,0.1306453753287195,1,0.9831081081081084,1.06763831894722
222,1432,2017-06-21,2.35,8524.0,35,10000907.SH,0.0024,2.677,2.509,0.1519154770252584,put,-0.8571428571428571,0.1367978828954696,0.94,351,2.5,44409.0,35,10000905.SH,0.04,2.677,2.509,0.1519154770252584,call,2.935714285714286,0.1042334975510835,1,351,2.5,29116.0,35,10000910.SH,0.04,2.677,2.509,0.1519154770252584,put,-0.8571428571428571,0.151795715324223,1,1.0392857142857146,1.0979381443298972
223,1441,2017-06-23,2.4,18836.0,33,10000908.SH,0.005,2.677,2.543,0.1521722056825092,put,-0.9090909090909092,0.1519655884768962,0.94,353,2.55,50507.0,33,10000911.SH,0.04,2.677,2.543,0.1521722056825092,call,1.9772727272727324,0.1338239106313883,1,353,2.55,22925.0,33,10000912.SH,0.05,2.677,2.543,0.1521722056825092,put,-0.9090909090909092,0.1611070290660858,1,0.37373737373737603,0.44919786096256925
224,1446,2017-06-26,2.4,11409.0,30,10000908.SH,0.0038,2.677,2.5540000000000003,0.1485643392284594,put,-1.0,0.1563025394715666,0.94,354,2.55,82794.0,30,10000911.SH,0.05,2.677,2.5540000000000003,0.1485643392284594,call,1.5400000000000045,0.1558539551392793,1,354,2.55,42589.0,30,10000912.SH,0.04,2.677,2.5540000000000003,0.1485643392284594,put,-1.0,0.1518592538437843,1,0.41111111111111365,0.47331786542923693
225,1451,2017-06-27,2.4,11394.0,29,10000908.SH,0.0027,2.677,2.564,0.1477626497451565,put,-1.0344827586206895,0.1538352660393715,0.94,355,2.55,70480.0,29,10000911.SH,0.05,2.677,2.564,0.1477626497451565,call,1.5931034482758668,0.1391398674269914,1,355,2.55,45431.0,29,10000912.SH,0.04,2.677,2.564,0.1477626497451565,put,-1.0344827586206895,0.1697881432138383,1,0.4252873563218417,0.4704348856499613
226,1456,2017-06-28,2.4,9672.0,28,10000908.SH,0.003,2.677,2.548,0.1182460415024346,put,-1.0714285714285714,0.1485979277309179,0.94,356,2.55,77823.0,28,10000911.SH,0.04,2.677,2.548,0.1182460415024346,call,2.330357142857149,0.1376356853635311,1,356,2.55,56549.0,28,10000912.SH,0.04,2.677,2.548,0.1182460415024346,put,-1.0714285714285714,0.146583649372518,1,0.6294642857142887,0.6957328385899845
227,1461,2017-06-29,2.4,15161.0,27,10000908.SH,0.0021,2.677,2.565,0.1190101400268551,put,-1.1111111111111112,0.1517641248782873,0.94,357,2.55,92395.0,27,10000911.SH,0.05,2.677,2.565,0.1190101400268551,call,1.711111111111116,0.1427308070606589,1,357,2.55,64956.0,27,10000912.SH,0.03,2.677,2.565,0.1190101400268551,put,-1.1111111111111112,0.1403604507324099,1,0.6527777777777809,0.7003280559121413
228,1466,2017-06-30,2.4,6654.0,26,10000908.SH,0.002,2.677,2.5580000000000003,0.1197721666305104,put,-1.1538461538461535,0.1481470784232616,0.94,358,2.55,82543.0,26,10000911.SH,0.04,2.677,2.5580000000000003,0.1197721666305104,call,2.509615384615391,0.1234832847935557,1,358,2.55,52055.0,26,10000912.SH,0.04,2.677,2.5580000000000003,0.1197721666305104,put,-1.1538461538461535,0.168717703933537,1,0.6778846153846185,0.7248520710059204
229,1473,2017-07-05,2.4,5800.0,49,10000944.SH,0.0049,2.708,2.563,0.1254022986267063,put,-0.6122448979591837,0.1373008266366124,0.94,360,2.55,14584.0,49,10000935.SH,0.06,2.708,2.563,0.1254022986267063,call,1.0000000000000038,0.1309149073976278,1,360,2.55,13851.0,49,10000940.SH,0.05,2.708,2.563,0.1254022986267063,put,-0.6122448979591837,0.1604860681872964,1,0.26716141001855487,0.3081613235208472
230,1479,2017-07-07,2.4,1745.0,47,10000944.SH,0.0036,2.708,2.5610000000000004,0.1226423211349102,put,-0.6382978723404256,0.1288418588888645,0.94,362,2.55,10307.0,47,10000935.SH,0.06,2.708,2.5610000000000004,0.1226423211349102,call,1.0425531914893658,0.1373418346117139,1,362,2.55,7962.0,47,10000940.SH,0.05,2.708,2.5610000000000004,0.1226423211349102,put,-0.6382978723404256,0.1610496894264817,1,0.27852998065764234,0.3095504719244943
231,1483,2017-07-11,2.45,10287.0,43,10000938.SH,0.005,2.708,2.604,0.1244798278766175,put,-0.6976744186046512,0.1384006509920954,0.94,364,2.6,25448.0,43,10000936.SH,0.05,2.708,2.604,0.1244798278766175,call,0.8093023255813967,0.1243615587951838,1,364,2.6,21104.0,43,10000941.SH,0.05,2.708,2.604,0.1244798278766175,put,-0.6976744186046512,0.1556042714071572,1,0.055813953488372765,0.09547123623011092
232,1487,2017-07-12,2.45,7081.0,42,10000938.SH,0.0075,2.708,2.597,0.124977829661162,put,-0.7142857142857143,0.1516248884977102,0.94,365,2.6,35790.0,42,10000936.SH,0.05,2.708,2.597,0.124977829661162,call,0.82857142857143,0.1367566961065232,1,365,2.6,30483.0,42,10000941.SH,0.05,2.708,2.597,0.124977829661162,put,-0.7142857142857143,0.1478844008850753,1,0.05714285714285783,0.11969111969112037
233,1497,2017-07-14,2.5,14824.0,40,10000939.SH,0.0092,2.708,2.665,0.1260294019940849,put,-0.75,0.1742648074260055,0.94,367,2.65,48359.0,40,10000937.SH,0.06,2.708,2.665,0.1260294019940849,call,-0.0249999999999965,0.1380223405008613,1,367,2.65,20203.0,40,10000942.SH,0.05,2.708,2.665,0.1260294019940849,put,-0.75,0.1718527278672754,1,-0.35454545454545267,-0.31845238095237893
234,1502,2017-07-17,2.5,16023.0,37,10000939.SH,0.0107,2.708,2.669,0.121060118537006,put,-0.8108108108108109,0.1923309066197276,0.94,368,2.65,52579.0,37,10000937.SH,0.07,2.708,2.669,0.121060118537006,call,-0.1389961389961359,0.1674957497219741,1,368,2.65,27845.0,37,10000942.SH,0.05,2.708,2.669,0.121060118537006,put,-0.8108108108108109,0.1831404710370302,1,-0.4189189189189171,-0.38055438787369056
235,1507,2017-07-18,2.5,12949.0,36,10000939.SH,0.0101,2.708,2.659,0.1221598443761169,put,-0.8333333333333334,0.1841197748610377,0.94,369,2.65,42216.0,36,10000937.SH,0.06,2.708,2.659,0.1221598443761169,call,-0.0277777777777739,0.1569646871393025,1,369,2.65,24593.0,36,10000942.SH,0.05,2.708,2.659,0.1221598443761169,put,-0.8333333333333334,0.1722129781601726,1,-0.39393939393939187,-0.34951618284951397
236,1513,2017-07-19,2.55,22966.0,35,10000940.SH,0.0111,2.708,2.702,0.1234572034912217,put,-0.8571428571428571,0.183499410028398,0.94,370,2.7,50184.0,35,10000947.SH,0.06,2.708,2.702,0.1234572034912217,call,-0.7428571428571427,0.1677968722368181,1,370,2.7,29363.0,35,10000948.SH,0.06,2.708,2.702,0.1234572034912217,put,-0.8571428571428571,0.191772113354355,1,-0.7999999999999998,-0.7941755214482487
237,1519,2017-07-20,2.55,14802.0,34,10000940.SH,0.0096,2.708,2.71,0.1191160751811799,put,-0.8823529411764706,0.1835021518406868,0.94,371,2.7,47035.0,34,10000947.SH,0.07,2.708,2.71,0.1191160751811799,call,-0.7815126050420167,0.1877899290280044,1,371,2.7,32109.0,34,10000948.SH,0.05,2.708,2.71,0.1191160751811799,put,-0.8823529411764706,0.1749662345350087,1,-0.8235294117647057,-0.8184143222506393
238,1531,2017-07-24,2.55,13171.0,30,10000940.SH,0.0051,2.708,2.7,0.1276969133944539,put,-1.0,0.1559333484864234,0.94,373,2.7,69433.0,30,10000947.SH,0.05,2.708,2.7,0.1276969133944539,call,-0.8399999999999999,0.1536327295576929,1,373,2.7,53335.0,30,10000948.SH,0.04,2.708,2.7,0.1276969133944539,put,-1.0,0.1378069890269637,1,-0.911111111111111,-0.9057714958775028
239,1574,2017-08-09,2.5,3198.0,49,10000856.SH,0.0066,2.7110000000000003,2.664,0.1336796172286742,put,-0.6122448979591837,0.1434665664278864,0.94,379,2.65,8767.0,49,10000929.SH,0.06,2.7110000000000003,2.664,0.1336796172286742,call,0.0102040816326571,0.1240044079422652,1,379,2.65,10865.0,49,10000930.SH,0.04,2.7110000000000003,2.664,0.1336796172286742,put,-0.6122448979591837,0.1297950260892063,1,-0.23877551020407928,-0.21238473976314048
240,1583,2017-08-10,2.5,7858.0,48,10000856.SH,0.0063,2.7110000000000003,2.655,0.1301044844927698,put,-0.625,0.137764192913413,0.94,380,2.65,22880.0,48,10000929.SH,0.05,2.7110000000000003,2.655,0.1301044844927698,call,0.1375000000000048,0.1126660604543983,1,380,2.65,21858.0,48,10000930.SH,0.04,2.7110000000000003,2.655,0.1301044844927698,put,-0.625,0.1206596949730515,1,-0.20138888888888618,-0.16950418160095287
241,1591,2017-08-11,2.45,7287.0,47,10000852.SH,0.0058,2.7110000000000003,2.613,0.1416898865384088,put,-0.6382978723404256,0.1434110149267315,0.94,381,2.6,19816.0,47,10000921.SH,0.06,2.7110000000000003,2.613,0.1416898865384088,call,0.5425531914893641,0.1313662931468188,1,381,2.6,23438.0,47,10000922.SH,0.04,2.7110000000000003,2.613,0.1416898865384088,put,-0.6382978723404256,0.1333418881101012,1,0.07021276595744814,0.11383656321994991
242,1609,2017-08-15,2.5,7890.0,43,10000856.SH,0.0056,2.7110000000000003,2.651,0.1310575461444343,put,-0.6976744186046512,0.1380346786561608,0.94,383,2.65,32666.0,43,10000929.SH,0.05,2.7110000000000003,2.651,0.1310575461444343,call,0.1534883720930286,0.1263224314185678,1,383,2.65,25350.0,43,10000930.SH,0.04,2.7110000000000003,2.651,0.1310575461444343,put,-0.6976744186046512,0.1213554000390172,1,-0.22480620155038455,-0.19343105918659445
243,1627,2017-08-17,2.5,5921.0,41,10000856.SH,0.0043,2.7110000000000003,2.652,0.1320818725738015,put,-0.7317073170731707,0.1324802437960505,0.94,385,2.65,23223.0,41,10000929.SH,0.05,2.7110000000000003,2.652,0.1320818725738015,call,0.1609756097561032,0.1283355176846682,1,385,2.65,25847.0,41,10000930.SH,0.04,2.7110000000000003,2.652,0.1320818725738015,put,-0.7317073170731707,0.1251334385590851,1,-0.23577235772357405,-0.2108888066710272
244,1636,2017-08-18,2.5,13354.0,40,10000856.SH,0.0035,2.7110000000000003,2.664,0.1204009161082095,put,-0.75,0.1346052675290703,0.94,386,2.65,40806.0,40,10000929.SH,0.06,2.7110000000000003,2.664,0.1204009161082095,call,0.0125000000000049,0.1396970513677596,1,386,2.65,33736.0,40,10000930.SH,0.03,2.7110000000000003,2.664,0.1204009161082095,put,-0.75,0.1126904983465373,1,-0.2416666666666634,-0.22109826589595036
245,1645,2017-08-21,2.5,6204.0,37,10000856.SH,0.0027,2.7110000000000003,2.6630000000000003,0.119731587803751,put,-0.8108108108108109,0.1312444017091989,0.94,387,2.65,39580.0,37,10000929.SH,0.05,2.7110000000000003,2.6630000000000003,0.119731587803751,call,0.1783783783783846,0.1176892989858686,1,387,2.65,38277.0,37,10000930.SH,0.03,2.7110000000000003,2.6630000000000003,0.119731587803751,put,-0.8108108108108109,0.1152719146164059,1,-0.19256756756756366,-0.17097304290059387
246,1666,2017-08-23,2.55,15698.0,35,10000914.SH,0.0031,2.7110000000000003,2.708,0.1186389578934685,put,-0.8571428571428571,0.1332742964767217,0.94,389,2.7,104709.0,35,10000949.SH,0.05,2.7110000000000003,2.708,0.1186389578934685,call,-0.6685714285714265,0.1278205338113009,1,389,2.7,66534.0,35,10000950.SH,0.03,2.7110000000000003,2.708,0.1186389578934685,put,-0.8571428571428571,0.1095850383018255,1,-0.739285714285713,-0.7345346461081168
247,1687,2017-08-25,2.6,46602.0,33,10000922.SH,0.0037,2.7110000000000003,2.757,0.137287651077842,put,-0.9090909090909092,0.1394978527445196,0.94,391,2.75,133155.0,33,10000957.SH,0.05,2.7110000000000003,2.757,0.137287651077842,call,-0.9090909090909092,0.1313374445131718,1,391,2.75,73920.0,33,10000958.SH,0.04,2.7110000000000003,2.757,0.137287651077842,put,-0.0227272727272795,0.1396968129492997,1,-0.5151515151515181,-0.4982618771726567
248,1722,2017-08-30,2.6,7914.0,28,10000922.SH,0.0025,2.7110000000000003,2.774,0.1432810101842344,put,-1.0714285714285714,0.149031610909462,0.94,394,2.8,109191.0,28,10000965.SH,0.04,2.7110000000000003,2.774,0.1432810101842344,call,-1.0714285714285714,0.161920989688158,1,394,2.8,61182.0,28,10000966.SH,0.05,2.7110000000000003,2.774,0.1432810101842344,put,0.8357142857142755,0.125366075371325,1,-0.011904761904767571,0.018367346938769784
249,1734,2017-08-31,2.6,10148.0,27,10000922.SH,0.0022,2.7110000000000003,2.766,0.1349997877183471,put,-1.1111111111111112,0.1426393735812902,0.94,395,2.8,85379.0,27,10000965.SH,0.03,2.7110000000000003,2.766,0.1349997877183471,call,-1.1111111111111112,0.1426650631703436,1,395,2.8,56234.0,27,10000966.SH,0.05,2.7110000000000003,2.766,0.1349997877183471,put,0.8666666666666561,0.1106302648299932,1,0.1249999999999934,0.1599542987717727
250,1746,2017-09-01,2.6,6363.0,26,10000922.SH,0.0023,2.7110000000000003,2.76,0.1353115303674464,put,-1.1538461538461535,0.1426107633661031,0.94,396,2.75,76270.0,26,10000957.SH,0.05,2.7110000000000003,2.76,0.1353115303674464,call,-1.1538461538461535,0.1444740036301612,1,396,2.75,66158.0,26,10000958.SH,0.03,2.7110000000000003,2.76,0.1353115303674464,put,0.3461538461538346,0.1255831553790569,1,-0.5913461538461581,-0.5746955746955791
251,1753,2017-09-06,2.6,6314.0,49,10000996.SH,0.0084,2.802,2.764,0.1255025414167843,put,-0.6122448979591837,0.1480467042516469,0.94,398,2.8,14961.0,49,10000995.SH,0.05,2.802,2.764,0.1255025414167843,call,-0.5877551020408136,0.154494820906356,1,398,2.8,7157.0,49,10001000.SH,0.07,2.802,2.764,0.1255025414167843,put,-0.6122448979591837,0.136130847649306,1,-0.6020408163265295,-0.6012727671713834
252,1814,2017-10-11,2.6,1902.0,42,10001016.SH,0.0023,3.067,2.762,0.0738682598228033,put,-0.7142857142857143,0.1147215256017446,0.94,418,2.8,16745.0,42,10001015.SH,0.04,3.067,2.762,0.0738682598228033,call,4.053571428571435,0.1434496387172341,1,418,2.8,5262.0,42,10001020.SH,0.05,3.067,2.762,0.0738682598228033,put,-0.7142857142857143,0.0863534243606924,1,1.4047619047619078,1.4603355595373868
253,1818,2017-10-12,2.6,940.0,41,10001016.SH,0.0021,3.067,2.773,0.0716591395559538,put,-0.7317073170731707,0.1195490225776433,0.94,419,2.8,12105.0,41,10001015.SH,0.04,3.067,2.773,0.0716591395559538,call,4.15243902439025,0.1323501865261793,1,419,2.8,7987.0,41,10001020.SH,0.05,3.067,2.773,0.0716591395559538,put,-0.7317073170731707,0.1057436400760412,1,1.4390243902439055,1.4908848747190575
254,1822,2017-10-13,2.6,976.0,40,10001016.SH,0.0022,3.067,2.7710000000000004,0.0681020581946822,put,-0.75,0.1210267401920556,0.94,420,2.8,13640.0,40,10001015.SH,0.04,3.067,2.7710000000000004,0.0681020581946822,call,4.256250000000007,0.1366444606165289,1,420,2.8,4659.0,40,10001020.SH,0.05,3.067,2.7710000000000004,0.0681020581946822,put,-0.75,0.1035444682019949,1,1.4750000000000032,1.530751708428249
255,1830,2017-10-17,2.6,4695.0,36,10001016.SH,0.0018,3.067,2.779,0.062808163276801,put,-0.8333333333333334,0.126530153501749,0.94,422,2.8,19589.0,36,10001015.SH,0.03,3.067,2.779,0.062808163276801,call,6.583333333333345,0.1055681640895605,1,422,2.8,11941.0,36,10001020.SH,0.04,3.067,2.779,0.062808163276801,put,-0.8333333333333334,0.0921260121116042,1,2.3452380952380993,2.429130009775175
256,1839,2017-10-19,2.65,6258.0,34,10001017.SH,0.0018,3.067,2.806,0.0643245569612599,put,-0.8823529411764706,0.1151659376109838,0.94,424,2.8,34766.0,34,10001015.SH,0.04,3.067,2.806,0.0643245569612599,call,5.007352941176478,0.0987006991662085,1,424,2.8,24698.0,34,10001020.SH,0.03,3.067,2.806,0.0643245569612599,put,-0.8823529411764706,0.1046867906479537,1,2.4831932773109284,2.572020010350185
257,1851,2017-10-24,2.65,3920.0,29,10001017.SH,0.0021,3.067,2.806,0.0639061048446995,put,-1.0344827586206895,0.1280507864389419,0.94,427,2.8,85862.0,29,10001015.SH,0.04,3.067,2.806,0.0639061048446995,call,5.870689655172424,0.1084259073544442,1,427,2.8,61047.0,29,10001020.SH,0.03,3.067,2.806,0.0639061048446995,put,-1.0344827586206895,0.11206488830778,1,2.911330049261089,3.033365496927536
258,1859,2017-10-26,2.65,5634.0,27,10001017.SH,0.0012,3.067,2.827,0.0673568010675667,put,-1.1111111111111112,0.1312680051367282,0.94,429,2.85,126829.0,27,10001021.SH,0.03,3.067,2.827,0.0673568010675667,call,6.925925925925929,0.1247494656294286,1,429,2.85,94202.0,27,10001022.SH,0.04,3.067,2.827,0.0673568010675667,put,-1.1111111111111112,0.0977140639745593,1,2.3333333333333344,2.39341085271318
259,1865,2017-10-27,2.7,17455.0,26,10001018.SH,0.0014,3.067,2.873,0.0822225668778338,put,-1.1538461538461535,0.1325843134537934,0.94,430,2.85,154011.0,26,10001021.SH,0.04,3.067,2.873,0.0822225668778338,call,5.105769230769232,0.0775872544273734,1,430,2.85,112801.0,26,10001022.SH,0.02,3.067,2.873,0.0822225668778338,put,-1.1538461538461535,0.1049657998506426,1,3.0192307692307705,3.11892885271725
260,1878,2017-11-07,2.7,5732.0,50,10000952.SH,0.003,2.834,2.875,0.0893166502469329,put,-0.6,0.1142353903620243,0.94,431,2.9,31927.0,50,10001007.SH,0.04,2.834,2.875,0.0893166502469329,call,-0.6,0.111589124271065,1,431,2.9,13947.0,50,10001008.SH,0.05,2.834,2.875,0.0893166502469329,put,0.191999999999998,0.0977426145851314,1,-0.16000000000000109,-0.14482758620689765
261,1892,2017-11-08,2.7,5589.0,49,10000952.SH,0.003,2.834,2.874,0.086837053419283,put,-0.6122448979591837,0.1148345359517336,0.94,432,2.9,47762.0,49,10001007.SH,0.04,2.834,2.874,0.086837053419283,call,-0.6122448979591837,0.1140008760044127,1,432,2.9,25178.0,49,10001008.SH,0.05,2.834,2.874,0.086837053419283,put,0.1959183673469367,0.0971475817138552,1,-0.1632653061224501,-0.14778325123152822
262,1906,2017-11-09,2.7,1908.0,48,10000952.SH,0.0027,2.834,2.885,0.0861472782992675,put,-0.625,0.1185086836279034,0.94,433,2.9,23662.0,48,10001007.SH,0.04,2.834,2.885,0.0861472782992675,call,-0.625,0.102988595562756,1,433,2.9,16365.0,48,10001008.SH,0.04,2.834,2.885,0.0861472782992675,put,0.4062499999999974,0.0881191514746546,1,-0.10937500000000128,-0.09136481241914754
263,1921,2017-11-10,2.75,8515.0,47,10000960.SH,0.004,2.834,2.918,0.0908405620563941,put,-0.6382978723404256,0.1197857721083164,0.94,434,2.95,50644.0,47,10001037.SH,0.04,2.834,2.918,0.0908405620563941,call,-0.6382978723404256,0.1210736788263469,1,434,2.95,15326.0,47,10001038.SH,0.06,2.834,2.918,0.0908405620563941,put,0.595744680851065,0.1132211582336425,1,0.10212765957446875,0.13297872340425598
264,1936,2017-11-13,2.75,5073.0,44,10000960.SH,0.0033,2.834,2.928,0.0907518110640506,put,-0.6818181818181818,0.1231565322942733,0.94,435,2.95,38714.0,44,10001037.SH,0.04,2.834,2.928,0.0907518110640506,call,-0.6818181818181818,0.1145698318566382,1,435,2.95,19330.0,44,10001038.SH,0.05,2.834,2.928,0.0907518110640506,put,0.9000000000000014,0.1051661309615671,1,0.19696969696969777,0.2304183705567797
265,1951,2017-11-14,2.75,7416.0,43,10000960.SH,0.0037,2.834,2.9130000000000003,0.0937950381280364,put,-0.6976744186046512,0.1200005871406793,0.94,436,2.95,35618.0,43,10001037.SH,0.03,2.834,2.9130000000000003,0.0937950381280364,call,-0.6976744186046512,0.1071334408833682,1,436,2.95,20690.0,43,10001038.SH,0.05,2.834,2.9130000000000003,0.0937950381280364,put,0.920930232558141,0.0836663291084766,1,0.3139534883720939,0.3630101496540592
266,1980,2017-11-16,2.75,9159.0,41,10000960.SH,0.0026,2.834,2.932,0.0999571271883689,put,-0.7317073170731707,0.1229357568004131,0.94,438,2.95,47358.0,41,10001037.SH,0.04,2.834,2.932,0.0999571271883689,call,-0.7317073170731707,0.1145577321197986,1,438,2.95,33988.0,41,10001038.SH,0.04,2.834,2.932,0.0999571271883689,put,1.3902439024390263,0.0880494140751362,1,0.3292682926829278,0.3649083002457942
267,1996,2017-11-17,2.8,19689.0,40,10000968.SH,0.0045,2.834,2.99,0.1142242118013588,put,-0.75,0.1423649539339542,0.94,439,3.0,87700.0,40,10001045.SH,0.04,2.834,2.99,0.1142242118013588,call,-0.75,0.1042851747522652,1,439,3.0,37611.0,40,10001046.SH,0.05,2.834,2.99,0.1142242118013588,put,1.7399999999999989,0.1235017622241973,1,0.6333333333333327,0.7061403508771924
268,2029,2017-11-21,2.85,42078.0,36,10000984.SH,0.0046,2.834,3.0460000000000003,0.1185855266674643,put,2.0652173913043503,0.1512118285159468,0.94,441,3.0,153066.0,36,10001045.SH,0.08,2.834,3.0460000000000003,0.1185855266674643,call,-0.8333333333333334,0.1298815421878397,1,441,3.0,129055.0,36,10001046.SH,0.03,2.834,3.0460000000000003,0.1185855266674643,put,3.777777777777776,0.1380409967453479,1,0.42424242424242364,0.3526249209361158
269,2061,2017-11-23,2.8,18059.0,34,10000968.SH,0.0048,2.834,2.991,0.1543312382893184,put,-0.8823529411764706,0.1567139305241107,0.94,443,3.0,152547.0,34,10001045.SH,0.05,2.834,2.991,0.1543312382893184,call,-0.8823529411764706,0.1407162008768766,1,443,3.0,131670.0,34,10001046.SH,0.05,2.834,2.991,0.1543312382893184,put,2.0470588235294103,0.1337175163936614,1,0.58235294117647,0.656203657933761
270,2077,2017-11-24,2.8,34117.0,33,10000968.SH,0.0048,2.834,2.99,0.1540075723653817,put,-0.9090909090909092,0.1583698659372926,0.94,444,3.0,225439.0,33,10001045.SH,0.05,2.834,2.99,0.1540075723653817,call,-0.9090909090909092,0.1444776693139821,1,444,3.0,174837.0,33,10001046.SH,0.05,2.834,2.99,0.1540075723653817,put,2.109090909090908,0.1340543420728742,1,0.5999999999999993,0.6760886172650871
271,2093,2017-11-27,2.8,32869.0,30,10000968.SH,0.0073,2.834,2.966,0.1568265722042602,put,-1.0,0.1684398272185325,0.94,445,3.0,207273.0,30,10001045.SH,0.04,2.834,2.966,0.1568265722042602,call,-1.0,0.1553725882687568,1,445,3.0,118548.0,30,10001046.SH,0.07,2.834,2.966,0.1568265722042602,put,1.37142857142857,0.1604513186967671,1,0.5090909090909082,0.6163583252190838
272,2142,2017-11-30,2.7,20236.0,27,10000960.SH,0.0088,2.834,2.858,0.1550309791767879,put,-1.1111111111111112,0.1874290230843424,0.94,450,2.9,73666.0,27,10001037.SH,0.04,2.834,2.858,0.1550309791767879,call,-1.1111111111111112,0.1813801083384156,1,450,2.9,52227.0,27,10001038.SH,0.07,2.834,2.858,0.1550309791767879,put,-0.0634920634920662,0.1578948171559572,1,-0.4444444444444462,-0.3864734299516927
273,2142,2017-11-30,2.7,20236.0,27,10000960.SH,0.0088,2.834,2.858,0.1550309791767879,put,-1.1111111111111112,0.1874290230843424,0.94,450,2.9,73666.0,27,10001037.SH,0.04,2.834,2.858,0.1550309791767879,call,-1.1111111111111112,0.1813801083384156,1,451,2.9,66355.0,27,10001092.SH,0.07,2.834,2.858,0.1550309791767879,put,-0.0634920634920662,0.1578948171559572,1,-0.4444444444444462,-0.3864734299516927
274,2142,2017-11-30,2.7,20236.0,27,10000960.SH,0.0088,2.834,2.858,0.1550309791767879,put,-1.1111111111111112,0.1874290230843424,0.94,451,2.9,88640.0,27,10001087.SH,0.04,2.834,2.858,0.1550309791767879,call,-1.1111111111111112,0.1813801083384156,1,450,2.9,52227.0,27,10001038.SH,0.07,2.834,2.858,0.1550309791767879,put,-0.0634920634920662,0.1578948171559572,1,-0.4444444444444462,-0.3864734299516927
275,2142,2017-11-30,2.7,20236.0,27,10000960.SH,0.0088,2.834,2.858,0.1550309791767879,put,-1.1111111111111112,0.1874290230843424,0.94,451,2.9,88640.0,27,10001087.SH,0.04,2.834,2.858,0.1550309791767879,call,-1.1111111111111112,0.1813801083384156,1,451,2.9,66355.0,27,10001092.SH,0.07,2.834,2.858,0.1550309791767879,put,-0.0634920634920662,0.1578948171559572,1,-0.4444444444444462,-0.3864734299516927
276,2199,2017-12-19,2.7,4360.0,36,10001136.SH,0.0057,3.172,2.87,0.1839553137667376,put,-0.8333333333333334,0.1519665421507358,0.94,474,2.9,7200.0,36,10001073.SH,0.05,3.172,2.87,0.1839553137667376,call,3.700000000000004,0.168934545522809,1,474,2.9,2770.0,36,10001078.SH,0.06,3.172,2.87,0.1839553137667376,put,-0.8333333333333334,0.13125304437837,1,1.227272727272729,1.3398849472674994
277,2199,2017-12-19,2.7,4360.0,36,10001136.SH,0.0057,3.172,2.87,0.1839553137667376,put,-0.8333333333333334,0.1519665421507358,0.94,474,2.9,7200.0,36,10001073.SH,0.05,3.172,2.87,0.1839553137667376,call,3.700000000000004,0.168934545522809,1,475,2.9,9995.0,36,10001102.SH,0.06,3.172,2.87,0.1839553137667376,put,-0.8333333333333334,0.13125304437837,1,1.227272727272729,1.3398849472674994
278,2199,2017-12-19,2.7,4360.0,36,10001136.SH,0.0057,3.172,2.87,0.1839553137667376,put,-0.8333333333333334,0.1519665421507358,0.94,475,2.9,20193.0,36,10001097.SH,0.05,3.172,2.87,0.1839553137667376,call,3.700000000000004,0.168934545522809,1,474,2.9,2770.0,36,10001078.SH,0.06,3.172,2.87,0.1839553137667376,put,-0.8333333333333334,0.13125304437837,1,1.227272727272729,1.3398849472674994
279,2199,2017-12-19,2.7,4360.0,36,10001136.SH,0.0057,3.172,2.87,0.1839553137667376,put,-0.8333333333333334,0.1519665421507358,0.94,475,2.9,20193.0,36,10001097.SH,0.05,3.172,2.87,0.1839553137667376,call,3.700000000000004,0.168934545522809,1,475,2.9,9995.0,36,10001102.SH,0.06,3.172,2.87,0.1839553137667376,put,-0.8333333333333334,0.13125304437837,1,1.227272727272729,1.3398849472674994
280,2204,2017-12-20,2.7,3279.0,35,10001136.SH,0.0058,3.172,2.8760000000000003,0.1839720889307971,put,-0.8571428571428571,0.158426609530747,0.94,476,2.9,6403.0,35,10001073.SH,0.05,3.172,2.8760000000000003,0.1839720889307971,call,3.8057142857142896,0.1638028861967027,1,476,2.9,2870.0,35,10001078.SH,0.06,3.172,2.8760000000000003,0.1839720889307971,put,-0.8571428571428571,0.1423480858279168,1,1.262337662337664,1.3803125856868679
